duration	iti	trial_type	stim_file
1.7	4.8	motor	
2.6	4.3	visual/auditory	audio/Funshine.wav
2.6	6.4	motor/auditory	audio/Cumbish.wav
1.7	4.0	visual	
4.0	4.8	visual/auditory	audio/Le_Baguette.wav
2.1	5.6	motor/auditory	audio/Jack_The_Lumberer.wav
2.9	3.3	visual	
1.4	4.6	motor	
1.6	6.8	motor/auditory	audio/Breaking_Bollywood.wav
2.6	4.8	motor	
3.5	5.4	visual/auditory	audio/Cumbish.wav
2.8	4.8	visual	
1.0	5.1	motor/auditory	audio/Coy_Koi.wav
3.5	3.0	motor	
2.6	5.2	visual/auditory	audio/Improv_for_Evil.wav
2.9	6.1	visual	
1.0	4.9	motor	
2.6	8.0	visual	
3.0	4.8	motor/auditory	audio/Bleu.wav
3.7	2.8	visual/auditory	audio/Desert_Conflict.wav
3.2	4.0	motor/auditory	audio/Bollywood_Groove.wav
3.8	3.8	visual	
2.7	3.4	visual/auditory	audio/Bleu.wav
0.9	4.2	motor	
2.1	6.0	visual	
3.8	4.6	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
1.4	6.6	motor	
3.7	5.3	visual/auditory	audio/Ukulele_Song.wav
1.3	2.8	visual	
3.8	3.9	motor/auditory	audio/Stereotype_News.wav
3.3	6.8	motor	
3.3	4.6	visual/auditory	audio/Le_Baguette.wav
2.5	4.1	visual	
3.0	4.7	motor/auditory	audio/Desert_Conflict.wav
2.1	4.4	visual/auditory	audio/Coy_Koi.wav
2.4	4.1	motor	
1.9	3.3	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
3.8	3.3	visual/auditory	audio/Shenzhen_Nightlife.wav
0.5	4.5	visual	
3.9	4.7	motor	
1.4	4.3	visual/auditory	audio/Stereotype_News.wav
2.1	4.8	motor	
0.8	3.9	motor/auditory	audio/Improv_for_Evil.wav
3.4	5.2	visual	
3.3	6.9	motor/auditory	audio/Shenzhen_Nightlife.wav
2.4	4.6	visual/auditory	audio/Funshine.wav
2.6	6.2	visual	
2.3	7.2	motor	
2.6	4.7	visual/auditory	audio/Bollywood_Groove.wav
1.5	4.1	visual	
2.8	4.1	motor/auditory	audio/Shenzhen_Nightlife.wav
1.1	2.7	motor	
3.3	3.4	motor/auditory	audio/Le_Baguette.wav
0.8	3.3	visual	
2.7	3.7	visual/auditory	audio/Ukulele_Song.wav
1.7	6.2	motor	
2.6	3.6	visual	
2.8	4.1	visual/auditory	audio/Jack_The_Lumberer.wav
1.2	5.6	motor/auditory	audio/Breaking_Bollywood.wav
2.6	19.6	motor	
