duration	iti	trial_type	stimulus
2.6737099459606015	7.167695982252465	fingertapping	
4.0079144329795895	7.773035104894804	checkerboard	
3.7299995184744943	7.713706905858131	tone	audio/250Hz_20s.wav
2.6919005061211343	4.019279816720917	tone	audio/600Hz_20s.wav
3.7299995184744943	10.684213621606283	checkerboard	
1.06237881562781	4.019279816720917	checkerboard	
3.402395224866102	5.769786756766359	fingertapping	
2.6737099459606015	9.753584836508594	tone	audio/600Hz_20s.wav
1.176143830167545	9.167137722602511	fingertapping	
1.4181088784957647	3.11846684849226	tone	audio/600Hz_20s.wav
3.761706375475112	3.11846684849226	checkerboard	
2.626277302470973	3.11846684849226	fingertapping	
1.7683094347430859	7.713706905858131	fingertapping	
1.176143830167545	8.389935507176506	tone	audio/500Hz_20s.wav
1.7683094347430859	9.414134857338283	checkerboard	
2.626277302470973	5.44790554752114	tone	audio/750Hz_20s.wav
4.840116838405802	7.713706905858131	checkerboard	
2.626277302470973	5.44790554752114	checkerboard	
3.7299995184744943	4.019279816720917	fingertapping	
4.0079144329795895	9.414134857338283	fingertapping	
4.043286462444691	8.389935507176506	checkerboard	
2.6737099459606015	5.769786756766359	checkerboard	
3.402395224866102	9.753584836508594	checkerboard	
1.7683094347430859	10.684213621606283	tone	audio/500Hz_20s.wav
4.840116838405802	7.50992108922079	fingertapping	
2.6919005061211343	5.44790554752114	fingertapping	
2.6919005061211343	9.931622546351921	checkerboard	
1.4181088784957647	9.167137722602511	checkerboard	
1.4181088784957647	10.684213621606283	fingertapping	
2.9373252904563265	7.167695982252465	checkerboard	
1.176143830167545	7.50992108922079	checkerboard	
2.9373252904563265	7.167695982252465	tone	audio/750Hz_20s.wav
3.761706375475112	9.931622546351921	tone	audio/850Hz_20s.wav
4.0079144329795895	7.50992108922079	tone	audio/250Hz_20s.wav
3.402395224866102	9.414134857338283	tone	audio/850Hz_20s.wav
2.9373252904563265	9.931622546351921	fingertapping	
1.06237881562781	7.773035104894804	fingertapping	
3.761706375475112	9.753584836508594	fingertapping	
4.840116838405802	7.773035104894804	tone	audio/250Hz_20s.wav
1.06237881562781	5.769786756766359	tone	audio/500Hz_20s.wav
4.043286462444691	9.167137722602511	tone	audio/850Hz_20s.wav
4.043286462444691	8.389935507176506	fingertapping	
