duration	iti	trial_type	stim_file
2.9	5.3	motor	
3.4	6.1	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
2.5	6.4	visual	
2.9	4.1	motor/auditory	audio/Improv_for_Evil.wav
1.8	4.2	visual	
3.8	3.8	motor/auditory	audio/Funshine.wav
0.7	4.6	motor	
3.3	6.9	visual/auditory	audio/Breaking_Bollywood.wav
1.8	6.1	visual	
3.0	4.9	visual/auditory	audio/Bleu.wav
0.6	4.2	motor	
3.1	6.5	motor/auditory	audio/Bollywood_Groove.wav
1.4	6.5	visual/auditory	audio/Bollywood_Groove.wav
3.8	4.1	motor/auditory	audio/Ukulele_Song.wav
2.4	2.2	visual	
3.3	6.0	motor	
2.3	3.1	motor/auditory	audio/Shenzhen_Nightlife.wav
3.1	5.8	visual	
2.9	4.5	motor	
2.6	5.9	visual/auditory	audio/Stereotype_News.wav
2.2	4.7	motor	
0.5	6.0	visual	
3.5	4.2	visual/auditory	audio/Le_Baguette.wav
2.2	3.4	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
3.3	4.9	visual/auditory	audio/Desert_Conflict.wav
0.9	3.7	motor	
3.1	3.8	visual	
2.4	4.1	motor/auditory	audio/Bollywood_Groove.wav
0.7	5.3	visual/auditory	audio/Funshine.wav
1.1	4.3	motor	
1.3	3.7	motor/auditory	audio/Cumbish.wav
3.3	7.3	visual	
3.9	4.8	motor	
3.5	6.7	visual/auditory	audio/Improv_for_Evil.wav
2.8	4.4	motor/auditory	audio/Bleu.wav
1.4	5.5	visual	
1.1	2.6	visual/auditory	audio/Shenzhen_Nightlife.wav
2.3	2.6	motor	
3.0	5.5	visual	
2.3	6.6	motor/auditory	audio/Cumbish.wav
3.3	3.7	visual/auditory	audio/Ukulele_Song.wav
1.0	3.1	motor	
2.1	6.0	visual	
3.1	4.5	motor/auditory	audio/Jack_The_Lumberer.wav
2.2	3.8	visual	
1.3	5.8	motor	
2.7	4.2	visual/auditory	audio/Bleu.wav
1.6	3.1	motor/auditory	audio/Desert_Conflict.wav
3.9	4.4	motor	
2.5	7.2	visual	
4.0	5.0	motor/auditory	audio/Cumbish.wav
3.9	2.9	visual/auditory	audio/Le_Baguette.wav
2.8	4.3	visual	
3.4	4.8	motor	
3.5	4.0	visual/auditory	audio/Stereotype_News.wav
0.6	6.2	motor/auditory	audio/Stereotype_News.wav
1.9	4.5	visual	
3.5	3.3	motor	
1.0	3.5	visual/auditory	audio/Breaking_Bollywood.wav
2.4	17.3	motor/auditory	audio/Breaking_Bollywood.wav
