duration	iti	trial_type	stim_file
2.1	5.6	visual	
3.4	4.9	visual/auditory	audio/Ukulele_Song.wav
1.0	5.2	motor	
2.8	6.8	motor/auditory	audio/Coy_Koi.wav
1.2	4.4	visual	
3.1	5.3	motor/auditory	audio/Stereotype_News.wav
4.0	6.3	visual/auditory	audio/Ukulele_Song.wav
2.0	4.3	motor	
3.1	2.7	visual	
3.7	7.5	motor	
1.6	4.5	visual/auditory	audio/Bollywood_Groove.wav
2.5	5.8	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
1.2	3.9	visual/auditory	audio/Bleu.wav
1.8	2.6	motor	
2.5	4.5	motor/auditory	audio/Cumbish.wav
1.4	4.8	visual	
1.8	3.3	visual/auditory	audio/Stereotype_News.wav
0.6	5.1	motor/auditory	audio/Breaking_Bollywood.wav
1.9	2.6	motor	
2.5	7.5	visual	
2.7	3.4	motor/auditory	audio/Le_Baguette.wav
0.8	2.8	motor	
3.1	5.5	visual/auditory	audio/Breaking_Bollywood.wav
3.3	4.9	visual	
3.8	3.6	motor/auditory	audio/Jack_The_Lumberer.wav
3.3	4.9	visual	
3.6	6.0	visual/auditory	audio/Jack_The_Lumberer.wav
2.8	6.1	motor	
3.4	4.2	motor/auditory	audio/Improv_for_Evil.wav
2.2	4.1	visual/auditory	audio/Desert_Conflict.wav
1.1	5.2	motor	
2.1	6.8	visual	
2.7	3.8	motor/auditory	audio/Bleu.wav
2.6	3.6	visual	
3.9	5.7	visual/auditory	audio/Shenzhen_Nightlife.wav
3.5	3.9	motor	
3.4	6.7	visual	
1.5	4.6	motor	
2.8	3.8	motor/auditory	audio/Ukulele_Song.wav
3.3	5.9	visual/auditory	audio/Breaking_Bollywood.wav
4.0	4.5	motor	
3.9	7.1	motor/auditory	audio/Funshine.wav
1.7	3.2	visual	
1.0	5.2	visual/auditory	audio/Desert_Conflict.wav
0.6	6.6	motor/auditory	audio/Cumbish.wav
2.3	2.8	motor	
3.0	3.6	visual	
2.0	7.3	visual/auditory	audio/Improv_for_Evil.wav
4.0	3.5	motor/auditory	audio/Le_Baguette.wav
3.2	4.3	visual	
2.9	4.1	motor	
4.0	4.0	visual/auditory	audio/Shenzhen_Nightlife.wav
3.6	3.7	motor	
2.0	5.1	visual	
1.0	4.4	motor/auditory	audio/Shenzhen_Nightlife.wav
1.8	2.9	visual/auditory	audio/Coy_Koi.wav
3.0	2.8	visual	
3.9	3.3	motor/auditory	audio/Improv_for_Evil.wav
3.5	3.6	visual/auditory	audio/Cumbish.wav
2.3	5.2	motor	
