duration	iti	trial_type	stim_file
3.5	3.2	visual	
1.8	7.3	motor/auditory	audio/Breaking_Bollywood.wav
2.9	6.4	visual	
1.8	4.4	motor	
3.8	4.4	motor/auditory	audio/Ukulele_Song.wav
1.8	5.2	visual/auditory	audio/Cumbish.wav
3.7	2.9	motor	
1.8	4.3	motor	
3.2	5.3	visual	
1.1	7.1	visual/auditory	audio/Jack_The_Lumberer.wav
2.9	7.6	motor	
1.0	7.1	motor	
1.0	4.3	visual	
2.9	3.5	motor/auditory	audio/Bollywood_Groove.wav
1.6	7.6	visual	
2.1	6.4	visual/auditory	audio/Desert_Conflict.wav
1.7	4.3	visual/auditory	audio/Funshine.wav
3.3	7.6	visual/auditory	audio/Shenzhen_Nightlife.wav
1.8	7.3	visual	
3.3	7.6	motor/auditory	audio/Improv_for_Evil.wav
3.5	6.4	motor	
2.1	6.3	motor/auditory	audio/Desert_Conflict.wav
3.7	2.9	visual	
1.8	2.5	visual	
1.8	5.3	motor/auditory	audio/Improv_for_Evil.wav
3.8	5.3	motor	
1.7	2.9	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
3.5	3.2	motor/auditory	audio/Coy_Koi.wav
1.1	6.3	visual/auditory	audio/Bollywood_Groove.wav
1.7	4.3	visual	
1.1	6.3	motor	
1.1	5.6	visual	
3.8	4.3	visual/auditory	audio/Desert_Conflict.wav
1.0	2.9	visual/auditory	audio/Funshine.wav
2.1	5.2	visual	
3.2	5.6	motor/auditory	audio/Funshine.wav
3.2	5.3	visual/auditory	audio/Coy_Koi.wav
1.6	3.5	visual/auditory	audio/Ukulele_Song.wav
1.6	6.4	motor/auditory	audio/Breaking_Bollywood.wav
1.1	3.5	visual	
1.0	2.5	motor/auditory	audio/Coy_Koi.wav
1.6	5.2	motor	
2.1	3.2	motor	
1.8	5.6	visual/auditory	audio/Bleu.wav
1.1	7.1	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
1.0	4.3	motor/auditory	audio/Cumbish.wav
2.9	4.4	visual/auditory	audio/Improv_for_Evil.wav
1.0	3.5	motor	
3.7	3.2	visual/auditory	audio/Le_Baguette.wav
3.5	2.5	visual/auditory	audio/Jack_The_Lumberer.wav
1.0	7.3	visual/auditory	audio/Ukulele_Song.wav
1.1	2.5	motor	
1.1	4.3	motor/auditory	audio/Bollywood_Groove.wav
3.3	4.3	motor	
3.7	5.2	motor/auditory	audio/Cumbish.wav
1.7	5.6	motor	
3.2	7.3	motor	
3.3	7.1	visual	
1.0	6.3	visual	
3.8	4.4	visual	
