duration	iti	trial_type	stim_file
2.2	3.1	motor/auditory	audio/Ukulele_Song.wav
1.4	4.1	motor	
3.4	4.5	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
1.3	3.7	visual	
2.7	5.9	motor	
1.8	4.0	visual/auditory	audio/Jack_The_Lumberer.wav
2.1	4.4	motor/auditory	audio/Cumbish.wav
2.5	5.1	visual	
4.0	6.0	motor/auditory	audio/Bleu.wav
3.6	3.9	visual	
1.1	2.8	motor	
1.0	7.5	visual/auditory	audio/Le_Baguette.wav
3.0	3.6	motor	
3.4	4.9	visual	
3.3	6.0	motor/auditory	audio/Desert_Conflict.wav
2.9	5.9	visual/auditory	audio/Improv_for_Evil.wav
0.5	5.4	motor	
3.4	6.0	motor/auditory	audio/Le_Baguette.wav
0.9	3.2	visual/auditory	audio/Bleu.wav
3.6	5.6	visual	
1.1	5.7	visual/auditory	audio/Improv_for_Evil.wav
3.4	5.7	motor	
1.2	5.5	motor/auditory	audio/Ukulele_Song.wav
2.3	4.3	visual	
2.8	3.9	visual/auditory	audio/Shenzhen_Nightlife.wav
2.9	3.7	motor/auditory	audio/Le_Baguette.wav
2.9	3.6	visual	
1.0	5.2	motor	
1.7	6.5	visual	
3.5	2.8	motor	
2.4	4.9	visual/auditory	audio/Shenzhen_Nightlife.wav
1.6	5.4	motor/auditory	audio/Stereotype_News.wav
1.1	3.0	motor	
2.3	6.5	motor/auditory	audio/Funshine.wav
2.2	3.6	visual	
2.8	4.9	visual/auditory	audio/Bollywood_Groove.wav
3.8	4.0	visual	
1.9	3.8	visual/auditory	audio/Bollywood_Groove.wav
3.2	2.5	motor	
2.8	4.7	motor/auditory	audio/Breaking_Bollywood.wav
2.6	4.2	visual/auditory	audio/Shenzhen_Nightlife.wav
3.0	4.6	motor/auditory	audio/Breaking_Bollywood.wav
3.7	3.4	visual	
0.8	3.8	motor	
1.3	7.7	visual/auditory	audio/Funshine.wav
1.5	4.1	motor	
2.3	3.9	motor/auditory	audio/Jack_The_Lumberer.wav
2.4	5.3	visual	
3.6	7.6	motor	
3.4	4.6	motor/auditory	audio/Cumbish.wav
1.8	7.5	visual	
0.8	5.2	visual/auditory	audio/Stereotype_News.wav
3.1	6.1	motor/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
0.5	5.3	motor	
3.7	4.5	visual/auditory	audio/Ambush_in_Rattlesnake_Gulch.wav
1.8	5.7	visual	
1.2	3.2	visual/auditory	audio/Desert_Conflict.wav
1.8	5.0	motor/auditory	audio/Improv_for_Evil.wav
3.6	3.7	motor	
3.4	21.5	visual	
